TIEMPO_H;TIEMPO_D;TRATAMIENTO ;MUESTRA ;BIOMASA
0;0;0;A 5ML;1.327777778
0;0;0;B 5ML;1.616666667
0;0;0;C 5ML;1.322222222
0;0;2.5;A 5ML;0.805555556
0;0;2.5;B 5ML;1.472222222
0;0;2.5;C 5ML;1.416666667
0;0;5;A 5ML;1.222222222
0;0;5;B 5ML;1.111111111
0;0;5;C 5ML;0.872222222
0;0;10;A 5ML;1.277777778
0;0;10;B 5ML;1.027777778
0;0;10;C 5ML;0.388888889
48;2;0;A 5ML;1.561111111
48;2;0;B 5ML;1.522222222
48;2;0;C 5ML;1.955555556
48;2;2.5;A 5ML;1.572222222
48;2;2.5;B 5ML;1.822222222
48;2;2.5;C 5ML;1.933333333
48;2;5;A 5ML;1.655555556
48;2;5;B 5ML;1.722222222
48;2;5;C 5ML;1.738888889
48;2;10;A 5ML;1.172222222
48;2;10;B 5ML;1.7
48;2;10;C 5ML;1.527777778
72;3;0;A 5ML;2.116666667
72;3;0;B 5ML;1.761111111
72;3;0;C 5ML;2
72;3;2.5;A 5ML;1.372222222
72;3;2.5;B 5ML;1.677777778
72;3;2.5;C 5ML;1.672222222
72;3;5;A 5ML;1.061111111
72;3;5;B 5ML;1.888888889
72;3;5;C 5ML;1.138888889
72;3;10;A 5ML;0.988888889
72;3;10;B 5ML;1.922222222
72;3;10;C 5ML;1.388888889
144;6;0;A 5ML;2.761111111
144;6;0;B 5ML;2.261111111
144;6;0;C 5ML;3.027777778
144;6;2.5;A 5ML;2.277777778
144;6;2.5;B 5ML;2.472222222
144;6;2.5;C 5ML;2.472222222
144;6;5;A 5ML;2.061111111
144;6;5;B 5ML;2.322222222
144;6;5;C 5ML;2.661111111
144;6;10;A 5ML;2.211111111
144;6;10;B 5ML;1.666666667
144;6;10;C 5ML;2.911111111
192;8;0;A 5ML;2.25
192;8;0;B 5ML;2.844444444
192;8;0;C 5ML;2.827777778
192;8;2.5;A 5ML;1.816666667
192;8;2.5;B 5ML;2.061111111
192;8;2.5;C 5ML;1.916666667
192;8;5;A 5ML;2.344444444
192;8;5;B 5ML;2.594444444
192;8;5;C 5ML;1.4
192;8;10;A 5ML;2.65
192;8;10;B 5ML;1.966666667
192;8;10;C 5ML;2.194444444
240;10;0;A 5ML;3.244444444
240;10;0;B 5ML;3.338888889
240;10;0;C 5ML;3.205555556
240;10;2.5;A 5ML;2.511111111
240;10;2.5;B 5ML;2.116666667
240;10;2.5;C 5ML;3.027777778
240;10;5;A 5ML;1.277777778
240;10;5;B 5ML;2.477777778
240;10;5;C 5ML;3.416666667
240;10;10;A 5ML;1.966666667
240;10;10;B 5ML;2.111111111
240;10;10;C 5ML;1.611111111
312;13;0;A 5ML;3.244444444
312;13;0;B 5ML;3.816666667
312;13;0;C 5ML;3.244444444
312;13;2.5;A 5ML;4.066666667
312;13;2.5;B 5ML;1.683333333
312;13;2.5;C 5ML;5.011111111
312;13;5;A 5ML;4.2
312;13;5;B 5ML;3.744444444
312;13;5;C 5ML;3.905555556
312;13;10;A 5ML;4.461111111
312;13;10;B 5ML;3.277777778
312;13;10;C 5ML;3.483333333
